,Mouse1,Mouse2,Mouse3,Mouse4,Mouse5,Mouse6,Mouse7,Mouse8,Mouse9,Mouse10,Mouse11,Mouse12,Mouse13,Mouse14,Mouse15,Mouse16,Mouse17,Mouse18,Mouse19,Mouse20,Mouse21,Mouse22,Mouse23,Mouse24
mmu-miR-761,25,12,5,1,7,9,39,42,32,33,22,31,37,46,37,50,33,24,36,53,39,39,42,55
mmu-miR-762,32,8,8,2,10,8,47,46,40,38,37,44,44,33,70,54,55,41,27,54,63,44,54,48
mmu-miR-763,6,1,3,1,2,1,13,17,6,7,9,11,9,10,11,12,14,11,16,11,14,8,15,13
mmu-miR-764-3p,21,4,5,5,8,8,37,35,28,24,15,37,41,31,34,48,48,32,26,54,30,30,37,46
mmu-miR-764-5p,29,11,9,5,8,14,47,50,29,37,40,48,53,42,58,47,58,29,31,61,40,44,46,61
mmu-miR-767,25,5,6,5,8,7,23,36,24,19,26,30,42,16,35,35,33,18,22,34,27,26,27,41
mmu-miR-770-3p,29,14,15,9,14,18,46,47,30,46,39,64,44,34,44,62,68,31,34,53,41,50,43,78
mmu-miR-770-5p,17,4,12,2,6,11,41,34,25,25,18,33,48,27,30,35,38,19,31,46,22,40,21,38
mmu-miR-7a,34,10,6,2,15,14,41,51,26,48,56,62,47,31,57,58,61,45,26,45,39,50,36,74
mmu-miR-7b,30,11,10,5,14,13,38,52,32,41,41,46,48,43,42,59,60,34,34,46,43,42,61,63
mmu-miR-802,8,8,4,1,6,7,24,21,19,17,19,9,29,19,26,22,24,16,21,14,26,26,27,24
mmu-miR-804,15,8,9,4,20,8,28,26,25,23,21,44,37,24,30,43,48,16,29,37,33,38,27,41
mmu-miR-871,16,8,4,2,4,10,39,31,27,25,25,29,19,35,44,42,37,20,33,35,42,38,31,36
mmu-miR-872,24,4,7,2,14,17,33,38,17,43,38,41,35,21,36,43,67,22,27,43,37,42,28,44
mmu-miR-873,24,8,11,8,8,8,49,33,34,43,39,39,42,36,32,52,41,40,21,39,32,34,28,56
