,Mouse1,Mouse2,Mouse3,Mouse4,Mouse5,Mouse6,Mouse7,Mouse8,Mouse9,Mouse10,Mouse11,Mouse12,Mouse13,Mouse14,Mouse15,Mouse16,Mouse17,Mouse18,Mouse19,Mouse20,Mouse21,Mouse22,Mouse23,Mouse24
mmu-miR-181c,29,15,15,3,14,11,41,53,25,52,29,53,48,32,27,55,63,24,32,39,25,46,41,53
mmu-miR-182,6,5,6,1,2,4,9,7,10,11,11,12,12,10,13,8,15,7,10,10,11,8,26,10
mmu-miR-183,16,3,3,1,6,9,7,14,16,8,17,16,17,13,33,14,56,27,13,19,11,28,212,28
mmu-miR-1839-3p,6,4,6,1,4,1,15,9,14,11,9,14,22,19,22,23,15,12,18,24,26,12,25,13
mmu-miR-1839-5p,17,6,7,3,9,7,17,22,15,74,22,40,31,11,23,26,36,23,17,27,11,26,34,56
mmu-miR-184,24,4,6,2,8,11,36,28,28,21,25,54,35,24,34,42,32,21,29,33,23,32,28,39
mmu-miR-185,39,12,14,7,23,18,35,53,34,75,64,86,59,34,50,85,108,46,36,55,54,67,60,82
mmu-miR-186,12,5,8,1,8,8,30,32,19,28,25,31,23,24,28,25,37,22,30,18,31,36,32,39
mmu-miR-187,33,18,11,5,16,13,57,40,51,61,42,51,44,50,49,68,56,60,42,61,54,56,49,50
mmu-miR-188-3p,5,2,5,1,6,5,12,17,9,17,10,9,10,14,15,19,23,14,12,19,21,13,30,19
mmu-miR-188-5p,7,2,4,1,5,1,6,4,6,3,7,11,9,6,11,7,11,7,11,12,4,11,8,7
mmu-miR-1892,25,3,5,1,6,13,41,36,26,26,26,43,35,32,31,43,40,19,13,47,27,33,46,49
mmu-miR-1893,21,6,8,3,12,9,25,33,35,26,26,40,50,32,41,50,47,32,32,46,31,46,41,45
mmu-miR-1894-3p,6,3,2,1,1,2,6,8,8,11,4,2,7,7,12,12,14,9,8,14,9,6,14,8
mmu-miR-1894-5p,20,3,6,2,10,9,32,38,28,26,25,46,42,31,33,40,42,20,20,55,22,31,27,59
mmu-miR-1895,26,9,10,2,8,7,28,29,21,29,20,33,33,32,41,43,35,23,21,43,28,37,29,50
mmu-miR-1896,7,3,3,2,3,3,11,17,9,3,11,9,10,8,22,16,17,13,7,18,17,17,12,17
mmu-miR-1897-3p,6,3,1,1,3,1,5,2,5,4,6,6,11,2,12,7,8,5,7,14,4,5,4,6
mmu-miR-1898,18,5,10,1,4,7,23,30,30,27,23,33,33,15,40,40,37,28,24,31,33,39,38,39
mmu-miR-1899,2,2,5,1,4,3,7,7,10,9,10,9,19,15,21,21,12,13,15,30,19,12,15,18
mmu-miR-18a,10,3,2,2,4,4,12,10,14,15,11,9,19,11,21,10,26,12,17,16,16,13,16,13
mmu-miR-18b,6,1,3,1,2,5,16,7,13,8,11,6,12,12,20,25,19,12,13,29,22,13,27,14
mmu-miR-190,48,14,14,3,16,13,56,50,30,52,47,58,59,43,62,49,69,43,36,70,42,44,55,64
mmu-miR-1900,22,1,7,2,9,10,28,32,29,28,35,37,32,20,33,32,35,25,19,44,33,19,33,56
mmu-miR-1901,12,9,7,1,8,8,21,23,19,17,11,24,20,21,21,29,22,20,20,19,26,34,24,28
mmu-miR-1902,19,3,2,2,12,6,12,11,10,13,15,26,16,13,17,33,38,8,11,11,15,25,12,23
mmu-miR-1903,23,8,14,2,16,14,43,42,31,26,30,44,46,34,35,53,48,22,26,54,27,42,38,67
mmu-miR-1904,12,10,11,2,9,10,30,25,28,21,32,27,30,22,39,38,31,25,21,28,22,32,30,45
mmu-miR-1905,3,2,1,1,1,1,3,3,5,5,7,7,8,6,5,3,2,6,3,5,8,4,4,3
mmu-miR-1906,23,14,12,3,12,9,33,51,27,35,43,61,54,45,55,52,46,39,43,59,62,52,37,54
mmu-miR-1907,4,3,3,2,4,1,13,10,13,21,11,14,23,14,16,14,11,9,18,9,10,19,23,13
mmu-miR-190b,1,1,1,1,1,1,5,5,4,7,2,1,5,3,3,3,3,2,3,6,5,7,4,4
mmu-miR-191,85,15,28,6,63,39,62,121,44,208,104,227,150,57,94,185,220,117,70,116,47,80,60,169
mmu-miR-192,25,4,7,4,10,15,34,41,27,28,30,46,35,24,31,42,44,19,23,47,31,38,27,44
mmu-miR-1927,8,1,2,1,6,2,14,10,5,3,5,10,14,10,11,8,13,5,3,18,10,10,17,12
mmu-miR-1928,30,6,3,8,12,11,42,44,28,36,37,51,57,33,57,50,55,37,34,56,48,26,40,55
mmu-miR-1929,31,11,15,6,14,11,58,60,63,50,37,53,54,46,49,103,81,47,52,76,67,67,71,69
mmu-miR-193,7,3,3,1,2,3,17,7,6,6,10,10,10,13,18,9,16,9,8,13,12,14,16,16
mmu-miR-1930,5,3,3,1,3,1,8,8,8,13,8,6,18,8,27,21,15,9,15,17,15,14,16,17
mmu-miR-1931,4,4,1,2,3,3,17,23,12,8,5,11,15,12,16,11,11,16,13,14,10,20,20,12
mmu-miR-1932,6,2,2,1,1,4,5,7,4,6,3,3,3,6,15,5,5,5,11,17,7,11,10,11
mmu-miR-1933-3p,5,1,1,1,2,3,11,13,13,7,8,9,8,8,6,6,9,4,15,14,12,11,16,15
mmu-miR-1933-5p,31,7,12,4,19,6,37,48,40,42,39,45,49,36,49,78,71,62,41,69,45,59,52,47
mmu-miR-1934,7,2,1,1,1,3,5,6,4,10,17,8,21,4,16,11,14,11,8,12,11,17,21,9
mmu-miR-1935,14,3,3,1,1,1,26,19,15,17,18,18,23,11,26,15,19,20,15,24,15,16,22,21
mmu-miR-1936,4,1,1,2,2,2,3,5,6,6,3,6,12,7,10,3,7,10,3,7,9,7,9,6
mmu-miR-1937a+mmu-miR-1937b,74,5,23,3,18,8,44,33,23,72,43,183,80,69,83,53,121,73,56,54,34,48,39,60
mmu-miR-1937c,29,6,11,3,8,4,39,20,23,41,28,88,49,30,64,36,59,48,53,50,24,50,36,46
mmu-miR-1938,4,1,1,1,4,5,11,6,4,8,9,4,8,8,10,9,8,10,11,6,18,10,4,8
mmu-miR-1939,2,1,1,1,1,1,4,9,14,9,5,5,2,4,8,10,6,12,4,11,13,5,8,9
mmu-miR-193b,30,10,12,2,7,11,25,45,20,40,22,40,50,29,33,54,44,34,23,42,28,34,44,61
mmu-miR-194,25,4,12,2,13,13,49,52,23,45,42,63,33,32,48,44,73,49,33,49,38,41,34,69
mmu-miR-1940,29,12,13,5,14,12,59,59,29,45,44,45,51,38,54,44,63,23,39,60,38,54,49,65
mmu-miR-1941-3p,24,8,5,1,12,9,41,47,32,28,34,44,41,29,33,50,45,33,28,50,28,35,33,50
mmu-miR-1941-5p,17,5,3,2,2,8,18,27,17,17,10,25,28,17,24,27,22,13,13,25,16,23,20,20
mmu-miR-1942,34,12,20,5,15,13,68,50,42,43,43,75,69,39,51,57,60,40,48,73,53,55,38,82
mmu-miR-1943,19,8,8,3,9,9,38,35,26,24,29,33,41,26,43,44,40,39,24,42,36,38,29,42
mmu-miR-1944,2695,174,745,166,1839,594,1576,4828,757,9108,7079,11354,2900,1042,2417,4179,3786,4080,2880,2600,877,2964,4200,3261
mmu-miR-1945,10,1,5,1,2,1,17,28,11,23,16,22,14,20,21,28,14,14,22,32,15,30,19,24
mmu-miR-1946a,12,5,5,3,5,9,27,27,22,28,19,33,23,23,23,28,36,13,20,45,31,31,30,31
mmu-miR-1946b,20,6,1,2,2,1,22,12,15,14,14,16,25,13,28,19,22,11,29,29,27,18,29,17
mmu-miR-1947,1,3,1,1,3,2,1,2,1,2,6,4,6,1,10,4,4,1,3,2,8,4,4,6
mmu-miR-1948,12,2,3,1,1,3,15,9,13,8,12,13,14,11,15,15,15,17,12,15,16,13,13,11
mmu-miR-1949,14,7,4,1,6,4,16,14,15,12,16,26,21,16,22,20,27,21,7,20,25,26,24,17
mmu-miR-195,17,6,5,2,16,12,20,33,21,35,20,37,29,23,29,42,88,47,33,42,14,33,20,30
mmu-miR-1950,7,3,1,1,1,3,6,4,4,6,3,5,12,10,4,12,5,5,7,15,8,7,10,10
mmu-miR-1951,3,1,1,1,1,2,10,10,3,3,5,7,11,5,12,4,10,5,8,3,8,2,6,5
mmu-miR-1952,6,2,4,1,3,2,8,6,8,10,7,7,7,10,12,7,9,8,9,14,9,8,12,11
mmu-miR-1953,18,7,6,2,5,4,18,10,17,18,14,15,19,16,17,27,25,14,18,17,11,25,23,15
mmu-miR-1954,4,1,1,1,2,1,5,7,9,4,7,7,10,3,6,4,7,6,9,14,9,12,8,10
mmu-miR-1955,2,1,2,1,2,1,3,8,2,6,3,11,4,3,14,9,4,6,13,13,6,8,7,11
mmu-miR-1956,14,6,11,3,13,8,29,36,24,33,29,50,39,33,35,45,50,24,31,32,29,38,29,47
mmu-miR-1957,29,2,9,2,7,10,40,41,26,23,38,47,52,29,31,45,57,27,23,59,21,32,31,54
mmu-miR-1958,37,11,11,4,10,13,61,63,46,45,43,45,52,37,54,48,51,37,29,50,38,44,48,63
mmu-miR-1959,25,5,11,2,14,10,39,51,42,31,43,42,49,43,50,43,49,38,31,71,33,30,38,60
mmu-miR-1960,7,4,2,1,2,2,14,16,12,9,14,15,14,14,13,23,24,6,8,18,9,17,18,24
mmu-miR-1961,34,16,13,1,15,6,54,45,58,53,52,53,47,49,54,57,69,48,61,56,68,86,66,58
mmu-miR-1962,21,7,10,3,18,10,33,36,21,21,41,48,39,35,41,45,43,23,29,43,33,43,40,48
mmu-miR-1963,30,10,7,1,10,4,34,33,35,28,31,38,35,27,48,38,43,26,22,50,31,41,36,40
mmu-miR-1964,22,8,8,4,7,7,38,42,34,18,29,35,39,20,31,44,31,21,29,35,39,29,26,42
mmu-miR-1965,17,4,5,3,6,6,20,23,19,21,15,24,24,27,36,28,29,26,17,28,20,28,27,36
mmu-miR-1966,17,5,12,3,7,7,34,42,33,35,32,43,52,29,47,41,42,38,21,49,40,41,30,41
mmu-miR-1967,23,5,12,5,18,9,38,36,23,30,24,44,31,17,39,43,33,20,30,34,36,32,35,45
mmu-miR-1968,12,4,6,3,5,2,21,13,16,19,16,29,28,16,24,23,22,10,20,24,25,22,21,32
mmu-miR-1969,4,2,2,1,1,1,14,15,8,3,10,14,8,11,11,15,16,16,11,20,12,19,19,8
mmu-miR-196a,4,1,2,1,1,2,13,2,6,13,6,11,4,7,14,16,8,8,12,9,11,11,10,15
mmu-miR-196b,6,5,2,2,7,1,9,7,8,12,9,9,10,11,21,13,9,14,16,25,11,17,13,17
mmu-miR-1970,14,2,2,2,1,3,17,7,13,23,12,11,16,17,16,15,22,11,9,9,14,20,17,23
mmu-miR-1971,7,3,2,1,1,3,14,5,11,8,11,6,14,15,15,16,12,15,9,17,16,21,9,14
mmu-miR-1981,7,1,3,1,4,3,6,11,5,11,9,9,5,9,13,14,13,13,10,14,8,10,9,4
mmu-miR-1982,5,1,3,1,2,2,13,3,4,7,8,11,13,12,12,10,14,8,7,15,9,17,9,12
mmu-miR-1983,7,2,2,1,1,1,6,10,3,16,6,10,8,7,5,8,12,5,9,7,15,6,10,10
mmu-miR-199a-3p,51,12,20,2,26,30,47,96,29,158,44,102,69,26,56,92,111,49,36,52,40,52,38,116
mmu-miR-199a-5p,15,1,6,1,9,5,9,23,9,22,21,29,18,7,30,24,39,21,9,17,6,14,9,22
mmu-miR-19a,21,2,5,1,16,5,11,12,15,27,20,19,24,10,21,22,75,11,11,18,16,20,14,22
mmu-miR-19b,16,4,2,2,11,5,26,18,24,34,27,29,18,15,35,36,64,28,38,33,22,33,31,25
mmu-miR-200a,27,9,9,3,28,20,39,48,25,42,45,71,55,31,56,50,121,37,36,54,31,55,159,72
mmu-miR-200b,163,53,62,16,91,56,243,205,236,228,220,221,232,235,278,254,401,233,219,245,236,259,929,297
mmu-miR-200c,38,15,13,4,28,17,59,63,44,50,59,68,60,34,64,68,82,49,40,74,39,54,227,89
mmu-miR-201,33,9,13,6,10,13,59,60,35,40,41,57,47,40,42,52,44,25,28,51,37,51,43,62
mmu-miR-202-3p,28,4,10,2,16,15,49,66,30,34,36,51,71,31,59,44,55,42,36,64,49,58,45,73
mmu-miR-202-5p,39,25,18,4,15,17,79,62,54,62,36,75,70,55,66,77,62,65,73,72,81,71,89,73
mmu-miR-203,32,10,13,1,20,15,49,38,35,41,35,67,51,36,46,65,75,40,35,70,57,52,38,56
mmu-miR-204,6880,1560,1930,616,4310,1500,6119,18376,8831,5766,6842,11785,9581,5750,3903,24481,27305,28174,13919,22069,3657,6682,10277,8863
mmu-miR-205,19,10,12,4,15,18,40,52,42,56,42,52,46,39,58,70,59,28,36,67,28,63,96,46
mmu-miR-206,19,3,10,3,15,14,30,55,19,63,47,57,50,45,40,55,41,31,29,38,39,45,40,52
mmu-miR-207,13,5,6,1,6,7,22,26,22,19,19,21,28,18,21,17,27,17,18,19,22,29,15,38
mmu-miR-208a,17,3,6,4,3,3,25,9,12,17,13,15,16,11,16,26,20,17,23,20,22,26,11,20
mmu-miR-208b,4,3,5,1,2,1,18,15,8,3,9,7,22,6,21,13,5,6,7,16,18,13,15,16
mmu-miR-20a+mmu-miR-20b,107,7,25,15,74,46,44,81,24,399,169,285,99,31,88,139,248,87,56,61,48,95,36,177
mmu-miR-21,33,2,9,10,24,28,17,24,16,70,63,82,80,15,53,93,252,50,41,37,21,69,28,100
mmu-miR-210,32,2,8,3,11,23,28,28,16,75,21,56,52,35,33,72,87,34,32,49,22,47,35,40
mmu-miR-211,12,4,5,1,8,4,12,14,5,10,9,19,13,10,12,16,21,8,13,12,17,18,10,19
mmu-miR-212,10,3,3,1,3,1,9,9,10,21,10,14,16,8,13,16,17,8,11,12,12,12,11,19
mmu-miR-2132,7,4,2,1,16,6,8,9,5,18,5,17,10,13,11,15,18,9,10,12,14,6,10,22
mmu-miR-2133,11,3,3,2,8,5,5,17,15,19,15,15,24,23,28,16,18,18,18,16,22,20,14,15
mmu-miR-2134,18,6,5,8,123,51,14,22,16,14,13,68,26,31,18,27,40,28,22,18,17,25,26,29
mmu-miR-2135,26,3,6,2,23,8,16,30,11,20,21,24,27,16,17,34,40,38,18,16,13,67,48,19
mmu-miR-2136,4,2,1,2,4,3,4,11,6,5,10,11,8,4,15,15,11,10,12,17,13,10,14,13
mmu-miR-2137,36,15,10,7,26,13,51,57,28,35,24,61,58,39,42,67,67,46,41,59,31,61,39,68
mmu-miR-2138,21,6,7,2,12,7,41,32,31,22,26,28,43,24,32,39,34,22,23,45,31,39,33,49
mmu-miR-2139,23,7,7,4,7,16,36,44,21,27,27,33,41,32,31,40,46,14,20,41,28,36,30,50
mmu-miR-214,22,5,1,1,12,11,28,37,12,19,28,26,35,19,23,34,34,19,23,28,13,28,29,35
mmu-miR-2140,58,5,22,4,39,24,108,115,52,41,81,100,88,70,75,66,79,44,50,72,44,99,98,72
mmu-miR-2141,430,31,48,31,212,139,428,599,345,431,613,1123,810,276,535,345,936,897,240,294,127,3218,2945,468
mmu-miR-2145,2,4,8,2,6,4,27,37,22,21,23,25,18,17,37,33,42,12,21,31,31,31,31,31
mmu-miR-2146,48,7,11,4,26,12,42,47,32,38,43,81,47,48,58,69,73,63,44,54,39,59,50,63
mmu-miR-216a,18,3,12,8,10,6,40,46,37,41,19,38,40,24,35,51,57,35,29,39,34,35,36,51
mmu-miR-216b,4,1,3,1,1,1,16,10,7,10,9,16,13,19,15,17,17,17,10,12,16,19,13,20
mmu-miR-217,1,2,1,3,1,1,17,7,8,5,10,10,6,8,17,10,16,10,8,17,11,10,11,13
mmu-miR-218,32,1,6,1,24,12,16,29,12,80,68,77,47,16,32,52,157,53,22,40,32,55,37,49
mmu-miR-2182,7,4,2,2,3,4,13,19,10,15,13,13,12,19,17,7,17,12,13,19,24,21,20,16
mmu-miR-2183,95,23,28,7,20,9,95,63,81,68,66,84,56,53,67,108,95,116,69,71,84,126,139,64
mmu-miR-219,16,6,4,2,9,6,16,15,13,22,22,15,27,14,24,20,43,14,20,24,24,28,17,17
mmu-miR-22,145,15,27,18,115,65,82,165,62,621,214,315,243,73,160,264,538,197,155,144,89,174,117,317
mmu-miR-220,11,3,2,1,5,3,7,17,12,16,5,9,7,12,15,8,8,12,14,14,7,18,13,13
mmu-miR-221,20,1,5,1,16,6,17,11,4,25,26,19,16,6,10,31,42,15,14,20,14,20,19,26
mmu-miR-222,6,3,2,1,2,1,6,8,4,10,9,11,11,3,15,17,24,17,11,18,13,14,6,9
mmu-miR-223,43,3,8,6,14,14,14,29,17,81,35,58,35,17,31,34,72,35,26,31,22,32,25,51
mmu-miR-224,21,7,24,7,7,12,52,44,27,40,31,47,46,42,37,59,54,27,25,59,36,31,51,65
mmu-miR-23a,1555,158,395,146,1078,514,725,1729,493,3212,1315,2216,1726,550,1448,1763,3056,1180,835,1356,593,1008,532,2343
mmu-miR-23b,852,88,192,66,548,241,446,807,243,1581,716,1194,922,295,688,1227,1969,893,410,607,381,586,375,1167
mmu-miR-24,106,12,20,9,54,26,42,73,34,158,82,139,113,33,78,156,229,112,65,78,45,97,47,128
mmu-miR-25,99,17,35,9,91,41,82,151,61,251,149,238,177,69,165,203,286,147,114,165,84,122,90,216
mmu-miR-26a,42,4,8,4,18,9,37,56,27,47,32,71,52,25,57,52,81,41,37,63,27,49,34,63
mmu-miR-26b,83,9,22,10,62,43,54,88,44,153,98,152,110,38,85,141,326,101,54,74,46,105,46,178
mmu-miR-27a,214,28,64,27,138,136,124,223,78,574,295,455,275,101,224,350,968,177,144,182,109,227,109,377
mmu-miR-27b,37,9,9,3,24,23,39,47,30,48,41,64,57,29,47,68,108,35,36,43,35,43,39,53
mmu-miR-28,37,8,15,5,22,23,52,62,29,90,47,78,81,35,59,79,95,49,48,78,48,47,38,89
mmu-miR-2861,12,2,5,3,9,4,24,22,18,15,14,23,28,17,24,26,31,17,12,24,26,28,16,34
mmu-miR-290-3p,21,9,7,4,11,12,37,52,29,36,45,66,49,26,49,44,40,34,36,53,47,51,46,45
mmu-miR-290-5p,18,4,4,1,7,9,35,33,30,24,20,31,29,23,36,37,35,28,33,48,41,44,43,44
mmu-miR-291a-3p,15,2,4,2,7,9,23,26,18,27,25,33,29,30,33,39,37,24,33,41,26,31,27,36
mmu-miR-291a-5p,1,1,1,1,1,1,1,1,1,1,1,5,16,11,12,14,13,11,6,11,19,15,2,16
mmu-miR-291b-3p,8,6,4,1,1,2,15,8,11,6,7,6,23,13,21,17,18,14,8,18,20,21,12,13
mmu-miR-291b-5p,8,1,3,1,4,5,7,3,9,10,10,9,11,5,15,12,17,10,7,12,20,19,15,16
mmu-miR-292-3p,6,7,1,1,2,2,15,8,13,20,9,17,11,10,19,7,14,13,16,21,16,20,14,16
mmu-miR-292-5p,5,4,1,2,2,1,9,7,10,7,4,14,11,10,10,11,14,9,5,9,16,9,9,17
mmu-miR-293,8,1,1,1,4,2,8,10,3,23,13,13,17,12,16,6,18,4,13,20,21,21,15,15
mmu-miR-294,7,2,5,3,2,2,19,19,11,12,18,8,16,9,23,14,20,13,14,14,16,22,23,19
mmu-miR-295,1,2,3,1,1,1,5,2,6,1,2,4,2,4,7,2,14,7,8,9,6,10,5,11
mmu-miR-296-3p,4,3,2,1,2,2,7,9,4,5,5,11,8,10,11,11,10,8,13,10,6,6,8,10
mmu-miR-296-5p,10,4,2,1,6,4,12,8,12,23,12,16,20,13,14,22,26,9,12,23,9,13,18,17
mmu-miR-297a+mmu-miR-466f+mmu-miR-669b,25,8,8,6,9,6,37,20,26,15,22,29,28,30,22,32,27,33,40,32,32,40,34,33
mmu-miR-297b-3p,4,2,1,1,1,3,5,5,6,6,3,3,7,7,13,5,10,8,7,7,9,5,8,6
mmu-miR-297b-5p,2,4,2,2,5,4,7,7,6,8,11,5,9,4,5,6,10,9,11,6,6,12,9,10
mmu-miR-297c,20,12,6,2,7,8,35,23,21,21,37,19,35,30,27,40,55,29,25,23,30,37,29,27
mmu-miR-298,1,3,2,1,2,5,10,7,8,9,9,4,5,3,4,10,10,9,9,16,10,13,11,13
mmu-miR-299,5,8,4,2,1,6,9,2,8,14,11,10,21,10,15,9,18,8,10,15,10,17,9,11
mmu-miR-29a,511,41,91,44,368,280,180,338,103,925,515,832,775,172,458,982,2300,626,398,414,183,689,351,881
mmu-miR-29b,97,13,40,14,88,44,51,80,24,191,154,167,159,53,119,153,656,101,91,91,49,219,59,194
mmu-miR-29c,218,6,35,20,146,129,78,160,61,352,237,332,312,94,243,394,1468,230,159,184,101,349,126,343
mmu-miR-300,35,5,11,3,28,10,39,45,25,83,46,83,58,23,47,54,63,43,35,62,24,56,41,68
mmu-miR-301a,30,6,17,6,16,16,31,51,28,74,53,75,76,35,63,74,107,46,41,74,47,53,47,69
mmu-miR-301b,23,5,9,2,24,14,27,30,18,81,42,64,54,27,52,51,105,35,37,31,37,57,28,52
mmu-miR-302a,7,2,4,1,2,2,10,9,5,7,6,4,6,7,15,19,13,9,9,15,15,11,8,9
mmu-miR-302b,5,4,4,1,4,6,13,12,8,16,12,19,16,16,18,15,16,13,6,16,13,12,11,14
mmu-miR-302c,3,1,2,1,1,3,6,1,12,3,5,1,9,7,10,5,6,3,6,11,9,9,6,9
mmu-miR-302d,14,3,4,2,3,1,25,19,24,19,13,23,25,28,32,22,23,23,24,27,24,26,32,19
mmu-miR-3072,5,1,3,1,1,1,7,6,6,5,4,11,4,6,10,7,7,2,8,7,12,8,9,8
mmu-miR-3099,5,1,1,1,3,1,8,5,6,5,4,4,6,13,3,10,8,11,9,10,14,6,13,5
mmu-miR-30a,345,28,84,24,246,104,123,265,72,778,316,599,500,112,316,440,1072,323,247,253,128,337,104,550
mmu-miR-30b,149,23,30,9,77,28,102,119,93,159,105,154,170,93,170,248,538,167,99,122,102,165,154,160
mmu-miR-30c,659,83,198,62,500,331,427,909,316,1676,734,1165,928,311,955,1138,2183,705,452,783,334,794,551,1147
mmu-miR-30d,426,34,81,32,281,87,215,338,91,716,345,622,517,174,356,513,892,372,256,290,150,290,146,460
mmu-miR-30e,34,10,10,5,17,23,39,50,35,61,49,59,62,27,39,50,84,38,33,49,40,47,35,63
mmu-miR-31,28,7,11,6,12,12,43,35,21,33,25,40,42,33,27,53,54,19,32,48,28,39,28,59
mmu-miR-32,16,10,15,2,10,6,35,42,35,33,19,31,27,18,36,38,60,24,16,49,36,33,32,49
mmu-miR-320,24,8,8,6,14,7,31,36,31,49,41,55,36,29,43,39,43,21,30,43,40,29,30,56
mmu-miR-322,26,6,10,5,14,9,23,49,41,51,33,70,49,27,51,45,90,28,37,45,33,53,39,56
mmu-miR-323-3p,19,6,8,3,8,6,32,34,21,34,28,38,43,25,37,60,55,41,30,42,31,38,34,34
mmu-miR-323-5p,25,3,15,1,6,10,29,39,33,29,45,54,50,28,49,46,46,34,23,46,31,48,37,39
mmu-miR-324-3p,5,1,3,2,3,1,9,8,4,6,6,7,7,8,13,8,8,9,14,15,10,4,14,13
mmu-miR-324-5p,15,4,3,2,7,6,25,16,15,33,21,33,23,18,25,52,42,31,22,33,27,28,30,21
mmu-miR-325,8,4,4,1,4,4,7,6,10,5,6,15,12,6,11,13,13,11,12,9,11,10,16,7
mmu-miR-326,31,7,8,3,32,10,19,29,15,63,37,49,50,27,25,63,70,36,35,49,32,45,31,43
mmu-miR-327,4,2,2,2,2,2,4,9,6,9,7,4,9,7,8,9,7,6,17,6,7,15,14,8
mmu-miR-328,51,8,18,5,32,16,37,58,35,61,42,79,78,57,72,159,132,74,64,83,36,103,76,61
mmu-miR-329,37,7,7,2,19,7,16,31,15,83,29,62,30,19,28,56,58,26,29,26,18,25,33,47
mmu-miR-33,21,9,7,9,11,10,41,45,26,31,30,48,47,25,39,42,41,41,29,53,22,41,38,46
mmu-miR-330,25,6,9,2,10,15,48,49,34,35,38,44,48,35,34,49,38,30,25,38,41,39,41,52
mmu-miR-331-3p,48,4,12,4,18,24,54,74,28,68,36,70,60,52,45,101,87,44,30,63,37,55,39,75
mmu-miR-331-5p,30,8,9,3,12,10,44,55,21,41,36,50,46,28,48,54,53,38,36,48,38,42,34,70
mmu-miR-335-3p,23,5,11,5,13,12,46,55,31,33,28,39,41,31,27,52,43,37,32,55,36,30,40,46
mmu-miR-335-5p,31,16,10,2,16,12,33,59,38,43,45,67,59,31,63,67,107,49,53,71,51,49,33,82
mmu-miR-337-3p,14,4,6,5,15,5,27,47,25,32,37,20,30,22,38,34,35,22,21,41,26,31,25,43
mmu-miR-337-5p,23,7,7,3,4,7,28,33,29,27,11,43,29,28,32,31,27,31,36,33,34,29,36,34
mmu-miR-338-3p,41,8,9,4,25,14,27,37,20,69,74,72,57,27,47,45,92,37,23,49,37,68,31,67
mmu-miR-338-5p,30,8,12,1,9,10,48,49,40,35,29,47,50,36,44,54,58,47,40,55,48,48,42,49
mmu-miR-339-3p,5,6,2,1,1,4,22,11,4,15,15,10,24,9,18,12,16,7,11,17,23,19,26,13
mmu-miR-339-5p,7,3,1,1,5,1,10,3,5,4,7,11,5,4,11,11,10,6,7,12,8,9,10,12
mmu-miR-340-3p,11,3,3,3,7,6,26,14,17,15,20,23,25,9,28,31,32,17,17,26,19,20,27,23
mmu-miR-340-5p,8,4,7,1,8,8,18,12,14,18,22,26,20,12,19,32,70,22,32,11,20,27,17,37
mmu-miR-341,6,2,4,1,1,2,6,4,9,8,9,8,6,6,15,9,14,7,10,12,8,13,12,7
mmu-miR-342-3p,93,16,21,11,75,32,50,87,47,210,101,169,110,32,84,174,237,123,81,93,59,77,83,99
mmu-miR-342-5p,8,2,2,1,5,4,10,14,12,21,17,20,21,6,16,19,22,17,9,27,11,20,18,21
mmu-miR-343,7,3,4,1,5,2,6,5,7,10,8,7,6,5,13,9,6,7,13,21,16,12,14,17
mmu-miR-344,6,2,2,1,4,2,6,7,7,8,3,4,13,3,10,9,11,10,13,7,11,10,6,6
mmu-miR-345-3p,10,2,4,2,9,3,14,11,18,11,20,23,14,21,24,15,13,13,13,17,18,15,17,18
mmu-miR-345-5p,33,11,13,2,14,7,48,51,28,58,37,65,55,35,39,74,77,47,32,51,31,51,42,69
mmu-miR-346,25,6,11,3,19,8,41,45,30,22,29,51,44,30,38,46,44,17,33,59,33,45,31,56
mmu-miR-3470a+mmu-miR-3470b,36,8,9,2,12,8,40,50,35,35,37,48,61,35,41,67,36,36,37,46,38,50,41,50
mmu-miR-3471,27,12,17,3,13,10,79,43,43,95,41,76,62,39,39,44,50,51,40,69,66,43,37,51
mmu-miR-3472,31,6,8,3,9,13,40,51,26,31,32,41,45,31,42,37,55,29,26,60,42,51,28,52
mmu-miR-3473,15,16,11,4,13,13,29,41,27,20,23,36,33,26,34,37,48,28,31,20,38,40,31,40
mmu-miR-3474,13,11,5,1,6,4,33,34,28,25,19,27,37,32,40,35,39,16,28,35,29,44,24,45
mmu-miR-3475,20,9,11,3,5,8,29,34,35,31,34,42,35,26,22,46,45,22,23,45,45,40,39,41
mmu-miR-34a,18,7,8,1,11,9,24,41,27,41,32,44,41,30,32,44,48,32,30,35,34,50,30,54
mmu-miR-34b-3p,44,11,15,6,14,13,53,64,39,66,48,68,57,43,63,114,129,75,42,69,52,62,63,89
mmu-miR-34b-5p,28,8,5,3,10,15,32,34,19,52,37,33,52,25,37,60,93,37,29,40,23,40,29,62
mmu-miR-34c,2031,855,730,127,807,372,2334,2360,2285,1122,1236,2190,2559,2158,1763,4031,3683,3300,1588,1408,1639,2928,2895,1761
mmu-miR-350,36,4,11,6,22,9,24,41,16,70,40,57,41,19,39,43,101,40,25,37,22,33,28,57
mmu-miR-351,7,2,4,1,2,3,15,12,7,13,8,16,15,8,16,15,14,9,19,17,21,21,11,21
mmu-miR-361,35,8,9,3,17,9,14,33,13,42,25,49,40,23,46,66,80,61,32,39,25,46,36,49
mmu-miR-362-3p,3,3,1,2,3,1,6,5,3,1,7,5,9,7,10,10,15,6,7,5,5,6,7,12
